Time              -----------------------cpu---------------------- -----------------------mem---------------------- 
Time                user     sys    wait    hirq    sirq    util     free    used    buff    cach   total    util   
17/11/24-16:16:21   0.46    0.48    0.01    0.00    0.14    1.10     5.9G   37.0G  352.9M   82.5G  125.8G   29.40   
17/11/24-16:16:26   0.52    0.50    0.06    0.00    0.10    1.12     5.9G   37.0G  352.9M   82.5G  125.8G   29.40   
17/11/24-16:16:31   0.54    0.75    0.22    0.00    0.21    1.50     5.9G   37.0G  352.9M   82.5G  125.8G   29.40   
17/11/24-16:16:36   1.57   27.45    0.01    0.00    0.23   29.25    36.0G    6.9G  352.9M   82.5G  125.8G    5.49   
17/11/24-16:16:41  11.46   22.94    0.11    0.00    0.68   35.08    29.6G   13.3G  352.9M   82.6G  125.8G   10.54   
17/11/24-16:16:46  31.32   20.00    4.74    0.00    1.38   52.69    20.2G   22.4G  352.9M   82.9G  125.8G   17.81   
17/11/24-16:16:51  33.66   20.42    3.64    0.00    1.55   55.63    12.8G   29.6G  352.9M   83.1G  125.8G   23.51   
17/11/24-16:16:56  34.95   20.01    3.27    0.00    1.40   56.36     4.0G   38.1G  352.9M   83.3G  125.8G   30.31   
17/11/24-16:17:01  12.58    8.87    0.65    0.00    0.87   22.32     5.4G   36.9G  352.6M   83.1G  125.8G   29.36   
17/11/24-16:17:06   1.84    2.53    0.01    0.00    0.31    4.68     5.3G   37.1G  352.6M   83.1G  125.8G   29.48   
17/11/24-16:17:11  19.17    5.79    0.01    0.00    1.03   42.08     4.7G   37.7G  352.6M   83.1G  125.8G   29.96   
17/11/24-16:17:16  32.66    9.77    0.00    0.00    1.26   75.22     4.6G   37.8G  352.6M   83.1G  125.8G   30.03   
17/11/24-16:17:21  31.07   10.14    0.00    0.00    1.31   72.98     4.9G   37.5G  352.6M   83.1G  125.8G   29.79   
17/11/24-16:17:26   9.07    3.61    0.06    0.00    0.63   20.74     4.7G   37.7G  352.6M   83.1G  125.8G   29.98   
17/11/24-16:17:31  31.60   10.41    0.12    0.00    1.27   78.02     4.6G   37.8G  352.6M   83.1G  125.8G   30.03   
17/11/24-16:17:36  30.78    9.06    0.00    0.00    1.24   77.50     4.6G   37.8G  352.6M   83.1G  125.8G   30.06   
17/11/24-16:17:41  14.81    5.10    0.01    0.00    0.86   36.07     5.0G   37.4G  352.6M   83.1G  125.8G   29.73   
Time              -----------------------cpu---------------------- -----------------------mem---------------------- 
Time                user     sys    wait    hirq    sirq    util     free    used    buff    cach   total    util   
17/11/24-16:17:46  18.83    6.28    0.00    0.00    0.99   63.26     4.6G   37.7G  352.6M   83.1G  125.8G   30.01   
17/11/24-16:17:51  26.45    8.08    0.01    0.00    1.23   88.73     4.6G   37.8G  352.6M   83.1G  125.8G   30.04   
17/11/24-16:17:56  26.78    8.40    0.00    0.00    1.07   89.05     4.6G   37.8G  352.6M   83.1G  125.8G   30.05   
17/11/24-16:18:01  21.24    6.86    0.01    0.00    0.92   66.02     5.1G   37.3G  352.6M   83.1G  125.8G   29.62   
17/11/24-16:18:06   9.13    3.37    0.01    0.00    0.78   41.57     4.7G   37.7G  352.6M   83.1G  125.8G   29.99   
17/11/24-16:18:11  18.29    6.22    0.00    0.00    0.82   95.46     4.6G   37.7G  352.6M   83.1G  125.8G   30.00   
17/11/24-16:18:16  18.02    6.39    0.00    0.00    0.85   96.80     4.6G   37.8G  352.6M   83.1G  125.8G   30.02   
17/11/24-16:18:21  18.31    6.37    0.00    0.00    0.76   95.63     4.6G   37.8G  352.6M   83.1G  125.8G   30.05   
17/11/24-16:18:26  18.30    6.60    0.02    0.00    0.72   95.88     4.6G   37.8G  352.6M   83.1G  125.8G   30.05   
17/11/24-16:18:31  18.09    7.10    0.06    0.00    0.81   95.35     4.6G   37.8G  352.6M   83.1G  125.8G   30.06   
17/11/24-16:18:36   4.93    2.18    0.02    0.00    0.66   18.82     4.7G   37.7G  352.6M   83.1G  125.8G   29.98   
17/11/24-16:18:41  12.52    4.99    0.00    0.00    0.63   97.51     4.6G   37.7G  352.6M   83.1G  125.8G   29.99   
17/11/24-16:18:46  12.60    4.83    0.00    0.00    0.58   97.30     4.6G   37.7G  352.6M   83.1G  125.8G   30.01   
17/11/24-16:18:51  10.76    4.77    0.00    0.00    0.43   97.49     4.6G   37.8G  352.6M   83.1G  125.8G   30.02   
17/11/24-16:18:56   8.80    4.06    0.00    0.00    0.38   98.07     4.6G   37.8G  352.6M   83.1G  125.8G   30.02   
17/11/24-16:19:01   9.05    3.84    0.00    0.00    0.48   98.14     4.6G   37.8G  352.6M   83.1G  125.8G   30.04   
17/11/24-16:19:06   8.98    3.85    0.00    0.00    0.46   97.34     4.6G   37.8G  352.6M   83.1G  125.8G   30.04   
17/11/24-16:19:11   9.42    3.95    0.00    0.00    0.36   97.39     4.6G   37.8G  352.6M   83.1G  125.8G   30.06   
17/11/24-16:19:16   8.52    4.07    0.00    0.00    0.40   97.29     4.6G   37.8G  352.6M   83.1G  125.8G   30.06   
Time              -----------------------cpu---------------------- -----------------------mem---------------------- 
Time                user     sys    wait    hirq    sirq    util     free    used    buff    cach   total    util   
17/11/24-16:19:21   6.25    2.99    0.01    0.00    0.92   54.93     5.1G   37.3G  352.6M   83.1G  125.8G   29.65   
17/11/24-16:19:26   2.22    0.57    0.07    0.00    0.93    3.72     4.9G   37.5G  352.6M   83.1G  125.8G   29.80   
17/11/24-16:19:31   5.43    3.09    0.24    0.00    0.36   77.47     4.6G   37.7G  352.6M   83.1G  125.8G   30.00   
17/11/24-16:19:36   6.03    2.94    0.00    0.00    0.28   98.57     4.6G   37.7G  352.6M   83.1G  125.8G   30.01   
17/11/24-16:19:41   5.64    2.77    0.00    0.00    0.30   98.30     4.6G   37.8G  352.6M   83.1G  125.8G   30.02   
17/11/24-16:19:46   6.65    3.02    0.00    0.00    0.26   97.89     4.6G   37.8G  352.6M   83.1G  125.8G   30.04   
17/11/24-16:19:51   6.09    2.93    0.00    0.00    0.25   98.08     4.6G   37.8G  352.6M   83.1G  125.8G   30.05   
17/11/24-16:19:56   6.12    3.11    0.00    0.00    0.28   98.81     4.6G   37.8G  352.6M   83.1G  125.8G   30.05   
17/11/24-16:20:01   6.97    3.23    0.00    0.00    0.36   98.57     4.6G   37.8G  352.6M   83.1G  125.8G   30.05   
17/11/24-16:20:06   8.83    4.10    0.00    0.00    0.41   98.03     4.6G   37.8G  352.6M   83.1G  125.8G   30.06   
17/11/24-16:20:11   8.52    3.86    0.00    0.00    0.42   97.75     4.6G   37.8G  352.6M   83.1G  125.8G   30.06   
17/11/24-16:20:16   9.20    3.93    0.01    0.00    0.46   97.93     4.6G   37.8G  352.6M   83.1G  125.8G   30.06   
17/11/24-16:20:21   8.82    4.02    0.00    0.00    0.45   98.45     4.6G   37.8G  352.6M   83.1G  125.8G   30.06   
17/11/24-16:20:26   8.81    4.06    0.00    0.00    0.45   98.39     4.6G   37.8G  352.6M   83.1G  125.8G   30.07   
17/11/24-16:20:31   6.92    3.72    0.03    0.00    0.66   63.75     5.0G   37.3G  352.6M   83.1G  125.8G   29.69   
17/11/24-16:20:36   4.11    1.76    0.00    0.00    0.27   53.25     4.6G   37.7G  352.6M   83.1G  125.8G   30.01   
17/11/24-16:20:41   4.39    2.39    0.00    0.00    0.28   99.39     4.6G   37.8G  352.6M   83.1G  125.8G   30.01   
17/11/24-16:20:46   4.38    2.23    0.00    0.00    0.26   98.99     4.6G   37.8G  352.6M   83.1G  125.8G   30.02   
17/11/24-16:20:51   4.37    2.31    0.00    0.00    0.21   98.74     4.6G   37.8G  352.6M   83.1G  125.8G   30.02   
Time              -----------------------cpu---------------------- -----------------------mem---------------------- 
Time                user     sys    wait    hirq    sirq    util     free    used    buff    cach   total    util   
17/11/24-16:20:56   4.74    2.37    0.00    0.00    0.27   98.74     4.6G   37.8G  352.6M   83.1G  125.8G   30.02   
17/11/24-16:21:01   4.41    2.48    0.00    0.00    0.23   98.79     4.6G   37.8G  352.6M   83.1G  125.8G   30.02   
17/11/24-16:21:06   3.13    1.77    0.00    0.00    0.17   99.24     4.6G   37.8G  352.6M   83.1G  125.8G   30.03   
17/11/24-16:21:11   3.33    1.78    0.00    0.00    0.14   98.56     4.6G   37.8G  352.6M   83.1G  125.8G   30.02   
17/11/24-16:21:16   2.68    1.58    0.00    0.00    0.12   99.70     4.6G   37.8G  352.6M   83.1G  125.8G   30.02   
17/11/24-16:21:21   2.88    1.61    0.00    0.00    0.13   99.26     4.6G   37.8G  352.6M   83.1G  125.8G   30.03   
17/11/24-16:21:26   2.97    1.90    0.00    0.00    0.14   98.67     4.6G   37.8G  352.6M   83.1G  125.8G   30.03   
17/11/24-16:21:31   5.08    2.33    0.00    0.00    0.15   98.59     4.6G   37.8G  352.6M   83.1G  125.8G   30.04   
17/11/24-16:21:36   2.86    1.72    0.00    0.00    0.16   99.11     4.6G   37.8G  352.6M   83.1G  125.8G   30.04   
17/11/24-16:21:41   3.05    1.70    0.00    0.00    0.14   99.39     4.6G   37.8G  352.6M   83.1G  125.8G   30.04   
17/11/24-16:21:46   2.99    1.59    0.00    0.00    0.10   99.58     4.6G   37.8G  352.6M   83.1G  125.8G   30.04   
17/11/24-16:21:51   3.03    1.46    0.00    0.00    0.16   99.80     4.6G   37.8G  352.6M   83.1G  125.8G   30.04   
17/11/24-16:21:56   2.89    1.49    0.00    0.00    0.09   99.43     4.6G   37.8G  352.6M   83.1G  125.8G   30.05   
17/11/24-16:22:01   2.79    1.49    0.00    0.00    0.13   98.19     4.6G   37.8G  352.6M   83.1G  125.8G   30.05   
17/11/24-16:22:06   2.66    1.66    0.01    0.00    0.13   99.28     4.6G   37.8G  352.6M   83.1G  125.8G   30.05   
17/11/24-16:22:11   2.89    1.68    0.00    0.00    0.13   99.22     4.6G   37.8G  352.6M   83.1G  125.8G   30.05   
17/11/24-16:22:16   3.94    1.96    0.00    0.00    0.24   99.35     4.6G   37.8G  352.6M   83.1G  125.8G   30.05   
17/11/24-16:22:21   4.84    2.38    0.00    0.00    0.26   99.51     4.6G   37.8G  352.6M   83.1G  125.8G   30.05   
17/11/24-16:22:26   5.54    3.03    0.01    0.00    0.26   99.51     4.6G   37.8G  352.7M   83.1G  125.8G   30.07   
Time              -----------------------cpu---------------------- -----------------------mem---------------------- 
Time                user     sys    wait    hirq    sirq    util     free    used    buff    cach   total    util   
17/11/24-16:22:31   5.52    3.94    0.03    0.00    0.29   99.49     4.5G   37.8G  352.7M   83.1G  125.8G   30.08   
17/11/24-16:22:36   4.88    2.35    0.00    0.00    0.24   99.02     4.5G   37.8G  352.7M   83.1G  125.8G   30.08   
17/11/24-16:22:41   4.86    2.23    0.00    0.00    0.21   99.37     4.5G   37.8G  352.7M   83.1G  125.8G   30.08   
17/11/24-16:22:46   4.72    2.34    0.00    0.00    0.28   98.80     4.5G   37.8G  352.7M   83.1G  125.8G   30.09   
17/11/24-16:22:51   4.64    2.28    0.00    0.00    0.28   99.51     4.5G   37.8G  352.7M   83.1G  125.8G   30.09   
17/11/24-16:22:56   4.67    2.47    0.00    0.00    0.24   98.92     4.5G   37.9G  352.7M   83.1G  125.8G   30.09   
17/11/24-16:23:01   4.80    2.24    0.00    0.00    0.22   99.76     4.5G   37.9G  352.7M   83.1G  125.8G   30.10   
17/11/24-16:23:06   1.76    1.23    0.01    0.00    0.21   26.78     5.4G   37.0G  352.7M   83.1G  125.8G   29.42   
17/11/24-16:23:11   0.46    0.42    0.01    0.00    0.06    0.93     5.4G   37.0G  352.7M   83.1G  125.8G   29.42   
17/11/24-16:23:16   0.38    0.44    0.01    0.00    0.14    0.96     5.4G   37.0G  352.7M   83.1G  125.8G   29.43   
17/11/24-16:23:21   0.50    0.43    0.01    0.00    0.16    1.08     5.4G   37.0G  352.7M   83.1G  125.8G   29.42   
17/11/24-16:23:26   0.64    0.65    0.06    0.00    0.16    1.45     5.4G   37.0G  352.7M   83.1G  125.8G   29.42   
17/11/24-16:23:31   0.63    0.71    0.22    0.00    0.18    1.52     5.4G   37.0G  352.7M   83.1G  125.8G   29.42   
17/11/24-16:23:36   0.38    0.42    0.01    0.00    0.14    0.94     5.4G   37.0G  352.7M   83.1G  125.8G   29.42   
17/11/24-16:23:41   0.42    0.46    0.01    0.00    0.11    0.99     5.4G   37.0G  352.7M   83.1G  125.8G   29.42   
17/11/24-16:23:46   0.46    0.44    0.01    0.00    0.09    1.00     5.4G   37.0G  352.7M   83.1G  125.8G   29.42   
17/11/24-16:23:51   0.44    0.43    0.01    0.00    0.26    1.13     5.4G   37.0G  352.7M   83.1G  125.8G   29.42   
17/11/24-16:23:56   0.40    0.40    0.01    0.00    0.21    1.01     5.4G   37.0G  352.7M   83.1G  125.8G   29.43   
17/11/24-16:24:01   0.52    0.48    0.01    0.00    0.23    1.23     5.4G   37.0G  352.7M   83.1G  125.8G   29.43   
Time              -----------------------cpu---------------------- -----------------------mem---------------------- 
Time                user     sys    wait    hirq    sirq    util     free    used    buff    cach   total    util   
